Movie,Year,TMDB Link,Genre
101 Dalmatians,1996,https://www.themoviedb.org/movie/11674,"Family, Comedy"
12 Angry Men,1957,https://www.themoviedb.org/movie/389,Drama
12 Angry Men,1997,https://www.themoviedb.org/movie/12219,"Drama, TV Movie"
13,2010,https://www.themoviedb.org/movie/44982,"Drama, Thriller"
13 Assassins,1963,https://www.themoviedb.org/movie/52011,"Adventure, Drama, Action"
13 Assassins,2010,https://www.themoviedb.org/movie/58857,"Adventure, Drama, Action"
13 Ghosts,1960,https://www.themoviedb.org/movie/29756,Horror
13 Tzameti,2005,https://www.themoviedb.org/movie/6077,"Action, Thriller"
20 Once Again,2015,https://www.themoviedb.org/movie/301274,"Comedy, Music, Fantasy"
2001 Maniacs,2005,https://www.themoviedb.org/movie/10845,"Horror, Comedy"
36 Hours,1965,https://www.themoviedb.org/movie/37684,"Drama, Thriller, War"
3:10 to Yuma,1957,https://www.themoviedb.org/movie/14168,"Western, Drama, Thriller"
3:10 to Yuma,2007,https://www.themoviedb.org/movie/5176,"Western, Drama"
7th Heaven,1927,https://www.themoviedb.org/movie/82474,"Drama, Romance"
A Bucket of Blood,1959,https://www.themoviedb.org/movie/22642,"Comedy, Horror"
A Bucket of Blood,1995,https://www.themoviedb.org/movie/222858,"Thriller, Comedy, Horror, TV Movie"
A Guy Named Joe,1943,https://www.themoviedb.org/movie/43306,"Drama, Romance, War, Fantasy"
A Man Called Otto,2022,https://www.themoviedb.org/movie/937278,"Comedy, Drama"
A Man Called Ove,2015,https://www.themoviedb.org/movie/348678,"Comedy, Drama"
A Nightmare on Elm Street,1984,https://www.themoviedb.org/movie/377,Horror
A Nightmare on Elm Street,2010,https://www.themoviedb.org/movie/23437,"Horror, Mystery, Thriller"
A Perfect Murder,1998,https://www.themoviedb.org/movie/1965,"Crime, Thriller, Drama"
A Song Is Born,1948,https://www.themoviedb.org/movie/17829,"Comedy, Music"
A Southern Yankee,1948,https://www.themoviedb.org/movie/253250,"Comedy, History, War"
A Star Is Born,1937,https://www.themoviedb.org/movie/22692,"Romance, Drama"
A Star Is Born,1954,https://www.themoviedb.org/movie/3111,"Romance, Drama"
A Star Is Born,1976,https://www.themoviedb.org/movie/19610,"Romance, Drama"
A Star Is Born,2018,https://www.themoviedb.org/movie/332562,"Romance, Drama"
A Story of Floating Weeds,1934,https://www.themoviedb.org/movie/44163,Drama
A Walk in the Clouds,1995,https://www.themoviedb.org/movie/9560,"Drama, Romance"
A Yank at Oxford,1938,https://www.themoviedb.org/movie/114079,"Drama, Romance"
Abbott and Costello in Hollywood,1945,https://www.themoviedb.org/movie/46068,Comedy
About Face,1952,https://www.themoviedb.org/movie/50929,"Comedy, Romance"
Against All Flags,1952,https://www.themoviedb.org/movie/44631,"Drama, Adventure"
Against All Odds,1984,https://www.themoviedb.org/movie/22160,"Crime, Drama, Romance, Thriller"
Agneepath,1990,https://www.themoviedb.org/movie/37403,"Action, Crime, Drama"
Agneepath,2012,https://www.themoviedb.org/movie/84858,"Action, Crime, Drama"
