movie,year,tmdb_link,tmdb_id,genres,normalized_title,family_id
A Star Is Born,1937,https://www.themoviedb.org/movie/22692,22692,"Romance, Drama",star is born,FAM0001
A Star Is Born,1954,https://www.themoviedb.org/movie/3111,3111,"Romance, Drama",star is born,FAM0001
A Star Is Born,1976,https://www.themoviedb.org/movie/19610,19610,"Romance, Drama",star is born,FAM0001
A Star Is Born,2018,https://www.themoviedb.org/movie/332562,332562,"Romance, Drama",star is born,FAM0001
The Squaw Man,1914,https://www.themoviedb.org/movie/161710,161710,"Drama, Western",squaw man,FAM0002
The Squaw Man,1918,https://www.themoviedb.org/movie/115076,115076,Western,squaw man,FAM0002
The Squaw Man,1931,https://www.themoviedb.org/movie/206039,206039,"Drama, Western",squaw man,FAM0002
The Awful Truth,1925,https://www.themoviedb.org/movie/397339,397339,Comedy,awful truth,FAM0003
The Awful Truth,1929,https://www.themoviedb.org/movie/919372,919372,Comedy,awful truth,FAM0003
The Awful Truth,1937,https://www.themoviedb.org/movie/14675,14675,"Comedy, Romance",awful truth,FAM0003
The Jazz Singer,1927,https://www.themoviedb.org/movie/939,939,"Drama, Music",jazz singer,FAM0004
The Jazz Singer,1952,https://www.themoviedb.org/movie/216925,216925,"Music, Drama",jazz singer,FAM0004
The Jazz Singer,1980,https://www.themoviedb.org/movie/15310,15310,"Drama, Music, Romance",jazz singer,FAM0004
Holiday,1930,https://www.themoviedb.org/movie/104219,104219,"Romance, Drama, Comedy",holiday,FAM0005
Death Takes a Holiday,1934,https://www.themoviedb.org/movie/37215,37215,"Fantasy, Romance, Drama",death takes a holiday,FAM0005
Holiday,1938,https://www.themoviedb.org/movie/16274,16274,"Comedy, Romance, Drama",holiday,FAM0005
The Champ,1931,https://www.themoviedb.org/movie/42816,42816,"Drama, Family",champ,FAM0006
The Clown,1953,https://www.themoviedb.org/movie/87983,87983,Drama,clown,FAM0006
The Champ,1979,https://www.themoviedb.org/movie/30547,30547,Drama,champ,FAM0006
Boudu Saved from Drowning,1932,https://www.themoviedb.org/movie/48365,48365,Comedy,boudu saved from drowning,FAM0007
Down and Out in Beverly Hills,1986,https://www.themoviedb.org/movie/9941,9941,Comedy,down and out in beverly hills,FAM0007
Boudu,2005,https://www.themoviedb.org/movie/14644,14644,Comedy,boudu,FAM0007
Mystery of the Wax Museum,1933,https://www.themoviedb.org/movie/32652,32652,"Horror, Mystery, Thriller",mystery of the wax museum,FAM0008
House of Wax,1953,https://www.themoviedb.org/movie/18573,18573,"Horror, Crime",house of wax,FAM0008
House of Wax,2005,https://www.themoviedb.org/movie/10066,10066,"Horror, Thriller, Mystery",house of wax,FAM0008
King Kong,1933,https://www.themoviedb.org/movie/244,244,"Adventure, Fantasy, Horror",king kong,FAM0009
King Kong,1976,https://www.themoviedb.org/movie/10730,10730,"Adventure, Fantasy, Horror",king kong,FAM0009
King Kong,2005,https://www.themoviedb.org/movie/254,254,"Adventure, Drama, Action",king kong,FAM0009
Little Miss Marker,1934,https://www.themoviedb.org/movie/43150,43150,"Comedy, Family",little miss marker,FAM0010
Sorrowful Jones,1949,https://www.themoviedb.org/movie/57693,57693,Comedy,sorrowful jones,FAM0010
Little Miss Marker,1980,https://www.themoviedb.org/movie/47876,47876,"Comedy, Romance",little miss marker,FAM0010
Destry Rides Again,1939,https://www.themoviedb.org/movie/43828,43828,"Western, Comedy",destry rides again,FAM0011
Frenchie,1950,https://www.themoviedb.org/movie/212787,212787,"Western, Drama",frenchie,FAM0011
Destry,1954,https://www.themoviedb.org/movie/94176,94176,"Western, War",destry,FAM0011
The Great Train Robbery,1941,https://www.themoviedb.org/movie/355798,355798,"Crime, Drama",great train robbery,FAM0012
The Last Bandit,1949,https://www.themoviedb.org/movie/456334,456334,"Western, Romance",last bandit,FAM0012
South Pacific Trail,1952,https://www.themoviedb.org/movie/284146,284146,Western,south pacific trail,FAM0012
Four Steps in the Clouds,1942,https://www.themoviedb.org/movie/65477,65477,"Drama, Comedy",four steps in the clouds,FAM0013
The Virtuous Bigamist,1956,https://www.themoviedb.org/movie/82835,82835,"Comedy, Drama",virtuous bigamist,FAM0013
A Walk in the Clouds,1995,https://www.themoviedb.org/movie/9560,9560,"Drama, Romance",walk in the clouds,FAM0013
This Gun for Hire,1942,https://www.themoviedb.org/movie/16703,16703,"Crime, Thriller, Mystery",this gun for hire,FAM0014
Short Cut to Hell,1957,https://www.themoviedb.org/movie/51555,51555,"Crime, Drama, Thriller",short cut to hell,FAM0014
This Gun for Hire,1991,https://www.themoviedb.org/movie/251497,251497,"TV Movie, Thriller",this gun for hire,FAM0014
