family_id,movie_count,titles,years,needs_review
FAM0001,2,Boudu | Boudu Saved from Drowning,"1932, 2005",yes
FAM0002,2,Death Takes a Holiday | Meet Joe Black,"1934, 1998",yes
FAM0003,4,A Star Is Born,"1937, 1954, 1976, 2018",no
FAM0004,3,"Move Over, Darling | My Favorite Wife | Something's Got to Give","1940, 1962, 1963",yes
FAM0005,2,A Walk in the Clouds | Four Steps in the Clouds,"1942, 1995",yes
FAM0006,2,Heaven Can Wait,"1943, 1978",no
FAM0007,2,A Perfect Murder | Dial M for Murder,"1954, 1998",yes
FAM0008,2,Rear Window,"1954, 1998",no
FAM0009,2,The Ladykillers,"1955, 2004",no
FAM0010,2,Big Deal on Madonna Street | Welcome to Collinwood,"1958, 2002",yes
FAM0011,2,The Fly,"1958, 1986",no
FAM0012,2,Ben Hur | Ben-Hur,"1959, 2003",no
FAM0013,3,Battle Beyond the Stars | The Magnificent Seven,"1960, 1980, 2016",yes
FAM0014,2,Breathless,"1960, 1983",no
FAM0015,2,Little Shop of Horrors | The Little Shop of Horrors,"1960, 1986",no
FAM0016,2,Midnight Lace,"1960, 1981",no
FAM0017,2,Ocean's 11 | Ocean's Eleven,"1960, 2001",yes
FAM0018,2,Psycho,"1960, 1998",no
FAM0019,2,Purple Noon | The Talented Mr. Ripley,"1960, 1999",yes
FAM0020,2,School for Scoundrels,"1960, 2006",no
FAM0021,2,The Time Machine,"1960, 2002",no
FAM0022,2,Village of the Damned,"1960, 1995",no
FAM0023,2,Where the Boys Are | Where the Boys Are '84,"1960, 1984",no
FAM0024,2,101 Dalmatians | One Hundred and One Dalmatians,"1961, 1996",yes
FAM0025,2,Flubber | The Absent-Minded Professor,"1961, 1997",yes
FAM0026,4,A Million to Juan | Brewster's Millions | Maalamaal | Three on a Spree,"1961, 1985, 1988, 1994",yes
FAM0027,2,Escape to Victory | Two Half Times in Hell,"1961, 1981",yes
FAM0028,3,A Fistful of Dollars | Last Man Standing | Yojimbo,"1961, 1964, 1996",yes
FAM0029,2,The Parent Trap,"1961, 1998",no
FAM0030,2,The Roman Spring of Mrs. Stone,"1961, 2003",no
FAM0031,2,Splendor in the Grass,"1961, 1981",no
FAM0032,2,West Side Story,"1961, 2021",no
FAM0033,2,Cape Fear,"1962, 1991",no
FAM0034,2,Carnival of Souls,"1962, 1998",no
FAM0035,2,Hara-Kiri: Death of a Samurai | Harakiri,"1962, 2011",yes
FAM0036,2,The Manchurian Candidate,"1962, 2004",no
