Original,Remake(s)
12 Angry Men (1957),12 Angry Men (1997)
13 Assassins (1963),13 Assassins (2010)
13 Ghosts (1960),Thirteen Ghosts (2001)
13 Tzameti (2005),13 (2010)
3:10 to Yuma (1957),3:10 to Yuma (2007)
36 Hours (1965),Breaking Point (1989)
The 39 Steps (1935),The 39 Steps (1959)
,The 39 Steps (1978)
,The 39 Steps (2008)
7th Heaven (1927),Seventh Heaven (1937)
Against All Flags (1952),The King's Pirate (1967)
Arth (1982),Arth - The Destination (2017)
The Absent-Minded Professor (1961),Flubber (1997)
Agneepath (1990),Agneepath (2012)
Aladdin (1992),Aladdin (2019)
Alfie (1966),Alfie (2004)
Aloma of the South Seas (1926),Aloma of the South Seas (1941)
The Amityville Horror (1979),The Amityville Horror (2005)
Anastasia (1956),Anastasia (1997)
And Soon the Darkness (1970),And Soon the Darkness (2010)
Angels in the Outfield (1951),Angels in the Outfield (1994)
Annie (1982),Annie (2014)
Anthony Zimmer (2005),The Tourist (2010)
Antropophagus (1980),Anthropophagous 2000 (1999)
Anything for Her (2008),The Next Three Days (2010)
The Apartment (1996),Wicker Park (2004)
April Fool's Day (1986),April Fool's Day (2008)
The Arena (1974),The Arena (2001)
Around the World in 80 Days (1956),Around the World in 80 Days (2004)
Arthur (1981),Arthur (2011)
Assault on Precinct 13 (1976),Assault on Precinct 13 (2005)
Attack of the 50 Foot Woman (1958),Attack of the 50 Ft. Woman (1993)
The Awful Truth (1925),The Awful Truth (1929)
,The Awful Truth (1937)
Baby Mine (1917),Baby Mine (1928)
Back Street (1932),Back Street (1941)
The Bad News Bears (1976),Bad News Bears (2005)
Ball of Fire (1941),A Song Is Born (1948)
Bangkok Dangerous (1999),Bangkok Dangerous (2008)
The Barretts of Wimpole Street (1934),The Barretts of Wimpole Street (1957)
The Bat (1926),The Bat Whispers (1930)
The Battle of the Sexes (1914),The Battle of the Sexes (1928)
Beauty and the Beast (1991),Beauty and the Beast (2017)
Bedazzled (1967),Bedazzled (2000)
Bedtime Story (1964),Dirty Rotten Scoundrels (1988)
,The Hustle (2019)
Behold My Wife! (1920),Behold My Wife! (1934)
Ben-Hur: A Tale of the Christ (1925),Ben-Hur (1959)
,Ben Hur (2003)
,Ben-Hur (2016)
Beyond a Reasonable Doubt (1956),Beyond a Reasonable Doubt (2009)
The Big Clock (1948),No Way Out (1987)
Big Deal on Madonna Street (1958),Crackers (1984)
,Welcome to Collinwood (2002)
Billa (2007),Billa (2009)
The Bishop's Wife (1947),The Preacher's Wife (1996)
Black Christmas (1974),Black Christmas (2006)
,Black Christmas (2019)
Blazing Saddles (1974),Paws of Fury: The Legend of Hank (2022)
Blind (2011),The Witness (2015)
The Blob (1958),The Blob (1988)
The Blue Angel (1930),The Blue Angel (1959)
Body and Soul (1947),Body and Soul (1981)
,Body and Soul (1999)
The Body (El Cuerpo) (2012),The Body (2019)
,Vengeance in the Dreary Night (2025)
La bonne année (1973),Happy New Year (1987)
Born Yesterday (1950),Born Yesterday (1993)
Boudu Saved from Drowning (1932),Down and Out in Beverly Hills (1986)
,Boudu (2005)
Breathless (1960),Breathless (1983)
Brian's Song (1971),Brian's Song (2001)
Bride Wars (2009),Bride Wars (2015)
Brighton Rock (1948),Brighton Rock (2010)
Broadway Bill (1934),Riding High (1950)
Brother Rat (1938),About Face (1952)
Brødre (2004),Brothers (2009)
The Buccaneer (1938),The Buccaneer (1958)
A Bucket of Blood (1959),A Bucket of Blood (1995)
The Burmese Harp (1956),The Burmese Harp (1985)
Cabin Fever (2002),Cabin Fever (2016)
The Cabinet of Dr. Caligari (1920),The Cabinet of Dr. Caligari (2005)
La Cage aux Folles (1978),The Birdcage (1996)
Can't Buy Me Love (1987),Love Don't Cost a Thing (2003)
Cape Fear (1962),Cape Fear (1991)
The Captain's Table (1959),The Captain (1971)
Carrie (1976),Carrie (2002)
,Carrie (2013)
Castle of Blood (1964),Web of the Spider (1971)
The Cat and the Canary (1927),The Cat Creeps (1930)
,The Cat and the Canary (1939)
,The Cat and the Canary (1979)
Cat People (1942),Cat People (1982)
Cat-Women of the Moon (1953),Missile to the Moon (1958)
Cats (1998),Cats (2019)
The Champ (1931),The Clown (1953)
,The Champ (1979)
Charade (1963),The Truth About Charlie (2002)
Charlotte's Web (1973),Charlotte's Web (2006)
Cheaper by the Dozen (1950),Cheaper by the Dozen (2003)
Chef (2014),Chef (2017)
Chicken Little (1943),Chicken Little (2005)
Child's Play (1988),Child's Play (2019)
Christmas Eve (1947),Christmas Eve (1986)
Christmas in Connecticut (1945),Christmas in Connecticut (1992)
Cinderella (1950),Cinderella (2015)
Clash of the Titans (1981),Clash of the Titans (2010)
Classmates (2006),Classmates (2007)
Clearing the Range (1931),The Dude Bandit (1933)
Les Compères (1983),Fathers' Day (1997)
The Computer Wore Tennis Shoes (1969),The Computer Wore Tennis Shoes (1995)
Le Convoyeur (2004),Wrath of Man (2021)
Le Corbeau (1943),The 13th Letter (1951)
The Countess of Monte Cristo (1934),The Countess of Monte Cristo (1948)
Cousin Cousine (1975),Cousins (1989)
The Crazies (1973),The Crazies (2010)
Criss Cross (1949),The Underneath (1995)
Cube (1997),Cube (2021)
D.O.A. (1950),D.O.A. (1988)
Dark Victory (1939),Stolen Hours (1963)
Dark Water (2002),Dark Water (2005)
Dawn of the Dead (1978),Dawn of the Dead (2004)
The Dawn Patrol (1930),The Dawn Patrol (1938)
Day of the Dead (1985),Day of the Dead (2008)
,Day of the Dead: Bloodline (2017)
The Day of the Jackal (1973),The Jackal (1997)
The Day the Earth Stood Still (1951),The Day the Earth Stood Still (2008)
Death at a Funeral (2007),Death at a Funeral (2010)
Death Game (1977),Knock Knock (2015)
Death Wish (1974),Death Wish (2018)
The Debt (2007),The Debt (2010)
The Defiant Ones (1958),The Defiant Ones (1986)
The Desperado (1954),"Cole Younger, Gunfighter (1958)"
The Desperate Hours (1955),Desperate Hours (1990)
Destry Rides Again (1939),Frenchie (1950)
,Destry (1954)
Le Deuxième Souffle (1966),The Second Wind (2007)
Les Diaboliques (1955),Diabolique (1996)
,A Perfect Murder (1998)
District 13 (2004),Brick Mansions (2014)
Diversion (1980),Fatal Attraction (1987)
Dona Flor and Her Two Husbands (1976),Kiss Me Goodbye (1982)
Don't Look Up (1996),Ghost Theater (2015)
Dr. Jekyll and Mr. Hyde (1931),Dr. Jekyll and Mr. Hyde (1941)
Dr. Mabuse the Gambler (1922),Dr. M (1990)
Dumbo (1941),Dumbo (2019)
Eat Drink Man Woman (1994),Tortilla Soup (2001)
L'emmerdeur (1973),Buddy Buddy (1981)
Das Experiment (2001),The Experiment (2010)
,The Eye (2008)
Fame (1980),Fame (2009)
Fahrenheit 451 (1966),Fahrenheit 451 (2018)
The Farmer Takes a Wife (1935),The Farmer Takes a Wife (1953)
Father of the Bride (1950),Father of the Bride (1991)
,Father of the Bride (2022)
La Femme Nikita (1990),Black Cat (1991)
,Point of No Return (1993)
Ferdinand the Bull (1938),Ferdinand (2017)
Fingers (1978),The Beat That My Heart Skipped (2005)
The Firm (1989),The Firm (2009)
Five Came Back (1939),Los que volvieron (1948)
,Back from Eternity (1956)
Flatliners (1990),Flatliners (2017)
The Flight of the Phoenix (1965),Flight of the Phoenix (2004)
Flipper (1963),Flipper (1996)
The Fly (1958),The Fly (1986)
The Fog (1980),The Fog (2005)
Folies Bergère de Paris (1935),That Night in Rio (1941)
,On the Riviera (1951)
Footloose (1984),Footloose (2011)
Forrest Gump (1994),Laal Singh Chaddha (2022)
Four Steps in the Clouds (1942),The Virtuous Bigamist (1956)
,A Walk in the Clouds (1995)
Frankenweenie (1984),Frankenweenie (2012)
Freaky Friday (1976),Freaky Friday (2003)
Free and Easy (1930),Pick a Star (1937)
,Abbott and Costello in Hollywood (1945)
Fright Night (1985),Fright Night (2011)
The Front Page (1931),His Girl Friday (1940)
,The Front Page (1974)
Fruit in the Neighbour's Garden (1935),Fruit in the Neighbour's Garden (1956)
Les Fugitifs (1986),Three Fugitives (1989)
Fun with Dick and Jane (1977),Fun with Dick and Jane (2005)
Funny Games (1997),Funny Games (2007)
Gambit (1966),Gambit (2012)
The Gambler (1974),The Gambler (2014)
Garde à Vue (1981),Under Suspicion (2000)
Gaslight (1940),Gaslight (1944)
The General (1926),A Southern Yankee (1948)
Get Carter (1971),Get Carter (2000)
Ghajini (2005),Ghajini (2008)
Gloria (1980),Gloria (1999)
The Godfather (1972–90),Godfather (2007)
Going in Style (1979),Going in Style (2017)
The Golden Chance (1915),Forbidden Fruit (1921)
Gone in 60 Seconds (1974),Gone in 60 Seconds (2000)
